Source,Harga lama,Harga baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Buku-Novel/Sejarah-Fiksi/168615-Ya-juj-&-Ma-juj-:-Riwayat-Sang-Penghancur-Peradaban-Bangsa-Bangsa-di-Dunia-Sepanjang-Zaman.html,Rp 110.000,Rp 93.500,Ya juj & Ma juj : Riwayat Sang Penghancur Peradaban Bangsa-Bangsa di Dunia Sepanjang Zaman,9786232201286,Alvabet ,Maret - 2022,464,500 gr,Soft Cover,-,Sejarah Fiksi,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Pendidikan-Anak/127453-Activity-Book-Buku-Petualangan-Paddle-Pop-Dinoterra.html,Rp 44.000,Rp 37.400,Activity Book - Buku Petualangan Paddle Pop Dinoterra,9786027002906,Batavia Imaji ,Agustus - 2014,-,100 gr,Soft Cover,-,Pendidikan Anak,-,Indonesia ··
https://www.bukukita.com/Edukasi/Lain-lain/113610-Mendidik-Anak-Cinta-Al-quran.html,Rp 39.000,Rp 33.150,,,,Mei - 2013,-,300 gr,Soft Cover,-,Lain-lain,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Sejarah-Dunia/168471-Mekkah-dan-Madinah.html,Rp 189.000,Rp 160.650,Mekkah dan Madinah ( Hard Cover ,9786232201194,Alvabet ,Januari - 2022,-,850 gr,HARD COVER,-,Sejarah Dunia,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Membaca-&-Menulis/161845-Permulaan-Belajar-Baca-Tulis-&-Hitung-untuk-TK-4-6-Tahun.html,Rp 76.000,Rp 64.600,Permulaan Belajar Baca-Tulis & Hitung untuk TK 4-6 Tahun,9786025250972,Pustaka Ilham ,Maret - 2019,176,350 gr,Soft Cover,-,Membaca & Menulis,-,Indonesia ··
"https://www.bukukita.com/Agama/Islam/167237-Sebelum-Ijab-Kabul,-Bekal-Untuk-Kehidupan-Rumah-Tangga-yang-Bahagia.html",Rp 69.000,Rp 58.650,"Sebelum Ijab Kabul, Bekal Untuk Kehidupan Rumah Tangga yang Bahagia",9786237163565,Alifia Books ,Januari - 2021,320,350 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Sains-dan-Teknologi/Sains-Umum/169263-Kecerdasaan-Matematis.html,Rp 115.000,Rp 97.750,Kecerdasaan Matematis,9786232201378,Alvabet ,Agustus - 2022,-,370 gr,Soft Cover,13x20mm,Sains Umum,-,Indonesia ··
https://www.bukukita.com/Biografi-dan-Memoar/Biografi/117578-SUPER-JUNIOR.html,Rp 47.000,Rp 39.950,SUPER JUNIOR,9786027618503,Kurniaesa ,September - 2013,188,250 gr,Soft Cover,-,Biografi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168739-Kematian-Adalah-Nikmat.html,Rp 100.000,Rp 85.000,Kematian Adalah Nikmat (Cover Baru),9786027720817,Lentera Hati ,April - 2022,286,300 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/169425-Berbisnis-dengan-Allah-:-Tips-Jitu-Jadi-Pebisnis-Sukses-Dunia-Akhirat.html,Rp 105.000,Rp 89.250,Berbisnis dengan Allah : Tips Jitu Jadi Pebisnis Sukses Dunia-Akhirat ( Edisi Baru ) ,9789799048899,Lentera Hati ,September - 2022,-,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Sejarah-Agama/169519-Riwayat-Singkat-Dunia-dan-Umat-Manusia:-Dari-Sebelum-Penciptaan-Hingga-Era-Nabi.html,Rp 115.000,Rp 97.750,Riwayat Singkat Dunia dan Umat Manusia: Dari Sebelum Penciptaan Hingga Era Nabi,9786232201392,Alvabet ,November - 2022,464,400 gr,Soft Cover,13x20mm,Sejarah Agama,-,Indonesia ··
https://www.bukukita.com/Agama/Al-Quran/92315-AL-QALAM-AL-QURAN-DAN-TERJEMAHNYA.html,Rp 125.000,Rp 106.250,AL QALAM - AL QURAN DAN TERJEMAHNYA,-,Fokus Media ,Mei - 2011,668,1350 gr,Hard Cover,-,Al-Quran,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/167408-Panduan-Esoteris-Mengolah-Jiwa:-Menumbuhkan-Perilaku-Beradab-untuk-Hidup-Bahagia.html,Rp 49.000,Rp 41.650,Panduan Esoteris Mengolah Jiwa: Menumbuhkan Perilaku Beradab untuk Hidup Bahagia,9786237163596,Alifia Books ,Maret - 2021,200,350 gr,soft cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Sejarah-Indonesia/167270-Kaladesa:-Awal-Sejarah-Nusantara-Edisi-Revisi.html,Rp 75.000,Rp 63.750,Kaladesa: Awal Sejarah Nusantara Edisi Revisi,9786022730378,Wedatama Widya Sastra ,Januari - 2021,-,250 gr,Soft Cover,-,Sejarah Indonesia,-,Indonesia ··
